Organisation,Environment,Application,Status,vCore Usage,Last Updated,Mule Message in last 30 days
C4E,eu-dev,belron-first-sapi-eu-dev,UNDEPLOYED,0.1,2023-01-26 01:06:23.911000,0
Carglass DE,eu-dev,bel-eu-de-calibration-mock-sys-v1-dev,STARTED,0.1,2023-01-26 19:33:06.455000,0
Safelite US,na-test,bel-na-sfl-employee-prc-v1-tst,STARTED,0.2,2023-02-15 07:15:01.856000,0
Finance,na-dev,bel-na-gbl-ar-invoice-prc-v1-dev,STARTED,0.1,2023-02-13 11:04:12.104000,29
Supply Chain,na-dev,bel-na-gbl-physical-inventory-prc-v1-dev,UNDEPLOYED,0.1,2023-01-23 10:52:45.758000,0
Obrien AU,apac-test,bel-apac-au-fsl-prc-v1-tst,STARTED,0.1,2023-02-10 09:34:22.507000,35822
Customer,na-test,bel-na-gbl-subscriber-locations-prc-v1-tst,UNDEPLOYED,0.1,2023-01-24 12:22:42.253000,0
HR,eu-dev,bel-eu-gbl-ftps-sys-v1-dev,STARTED,0.1,2023-01-27 00:37:25.442000,0
Carglass DE,eu-dev,bel-eu-de-mdm-prc-v1-dev,UNDEPLOYED,0.1,2023-01-26 19:38:12.054000,0
C4E,eu-dev,belron-first-xapi-eu-dev,UNDEPLOYED,0.1,2023-01-26 01:25:52.957000,0
Safelite US,na-test,bel-na-sfl-vanguard-sys-v1-tst,UNDEPLOYED,0.1,2023-01-26 18:18:41.124000,0
Finance,na-dev,bel-na-gbl-collection-notes-prc-v1-dev,STARTED,0.1,2023-01-25 09:39:18.079000,0
Supply Chain,na-dev,bel-na-gbl-physical-inventory-exp-v1-dev,UNDEPLOYED,0.1,2023-01-23 11:04:51.828000,0
Obrien AU,apac-test,bel-apac-au-click-schedule-exp-v1-tst,STARTED,0.1,2023-02-14 11:46:18.239000,94
Customer,na-test,bel-na-gbl-int-exp-v3-tst,STARTED,0.1,2023-01-24 12:53:44.685000,0
C4E,eu-dev,bel-eu-gbl-helloworld-exp-v1-dev,STARTED,0.1,2023-01-26 02:03:20.136000,0
HR,eu-dev,bel-eu-gbl-hr-payroll-prc-v1-dev,STARTED,0.1,2023-02-14 11:29:23.816000,1042
Carglass DE,eu-dev,bel-eu-de-calibration-job-sys-v1-dev,UNDEPLOYED,0.1,2023-01-26 19:43:10.632000,0
Safelite US,na-test,bel-na-sfl-imagewear-sys-v1-tst,STARTED,0.1,2023-01-26 18:35:23.823000,0
Finance,na-dev,bel-na-gbl-open-ar-prc-v1-dev,STARTED,0.1,2023-01-25 09:48:55.776000,0
Supply Chain,na-dev,bel-na-gbl-subscriber-supplier-prc-v1-dev,STARTED,0.1,2023-02-15 15:42:16.106000,253
Obrien AU,apac-test,bel-apac-au-mscrm-sys-v1-tst,STARTED,0.1,2023-02-12 19:38:27.215000,34836
Customer,na-test,bel-na-gbl-sfdc-location-sys-v1-tst,UNDEPLOYED,0.1,2023-01-24 13:00:13.573000,0
C4E,eu-dev,bel-eu-gbl-helloworld-prc-v1-dev,STARTED,0.1,2023-01-26 02:22:28.183000,0
Carglass DE,eu-dev,bel-eu-de-calibration-exp-v1-dev,UNDEPLOYED,0.1,2023-01-26 19:51:05.329000,0
Safelite US,na-test,bel-na-sfl-paylogix-sys-v1-tst,UNDEPLOYED,0.1,2023-01-26 18:40:45.718000,0
Finance,na-dev,bel-na-gbl-ledger-balance-prc-v1-dev,STARTED,0.1,2023-02-13 10:15:10.398000,0
Supply Chain,na-dev,activemq-sc-dev,UNDEPLOYED,0.1,2023-01-23 11:25:34.389000,0
Customer,na-test,bel-na-gbl-sfdc-appointment-sys-v1-tst,UNDEPLOYED,0.1,2023-01-24 13:11:40.571000,0
Obrien AU,apac-test,bel-apac-au-taskupdate-prc-v1-tst,STARTED,0.1,2023-02-15 12:58:33.314000,34108
C4E,eu-dev,bel-eu-gbl-helloworld-sys-v1-dev,UNDEPLOYED,0.1,2023-01-26 02:22:25.652000,0
Carglass DE,eu-dev,bel-eu-gbl-calibration-prc-v1-dev,UNDEPLOYED,0.1,2023-01-26 19:58:49.560000,0
HR,na-test,bel-na-gbl-gmft-sys-v1-tst,STARTED,0.1,2023-01-27 03:43:59.991000,6052
Safelite US,na-test,bel-na-sfl-reed-sys-v1-tst,STARTED,0.1,2023-01-26 18:55:54.709000,0
Finance,na-dev,bel-na-gbl-lease-management-prc-v1-dev,STARTED,0.1,2023-01-25 10:25:34.015000,0
Customer,na-test,bel-na-gbl-service-validate-exp-v1-tst,STARTED,0.1,2023-01-24 14:06:33.917000,0
Supply Chain,na-dev,bel-na-gbl-supplier-capacity-prc-v1-dev,STARTED,0.1,2023-01-23 13:22:30.341000,0
Obrien AU,apac-test,bel-apac-au-demo-exp-v1-tst,STARTED,0.1,2023-01-25 20:27:51.950000,0
C4E,eu-dev,bel-eu-c4e-amazon-exp-v1-dev,STARTED,0.1,2023-01-26 05:23:47.882000,0
Carglass DE,eu-dev,workdayemailupdate,STARTED,0.1,2023-01-26 20:45:23.557000,719
Safelite US,na-test,bel-na-sfl-equifax-sys-v1-tst,UNDEPLOYED,0.1,2023-01-26 19:00:14.635000,0
Finance,na-dev,bel-na-gbl-bulk-process-aplan-sys-v1-dev,STARTED,0.1,2023-01-25 10:32:27.769000,0
Customer,na-test,jwt-token8,UNDEPLOYED,0.1,2023-01-24 14:12:02.339000,0
Obrien AU,apac-test,bel-apac-au-helloworld-exp-v1-tst,STARTED,0.1,2023-02-14 14:15:22,29
Supply Chain,na-dev,bel-na-gbl-cycle-count-exp-v1-dev,UNDEPLOYED,0.1,2023-01-23 13:24:30.312000,0
C4E,eu-dev,bel-eu-gbl-event-publisher-exp-v1-dev,STARTED,0.1,2023-01-26 05:39:37.974000,276
Carglass DE,eu-dev,bel-eu-de-buejo-sys-v1-dev,UNDEPLOYED,0.1,2023-02-07 10:52:16.356000,238045
Safelite US,na-test,bel-na-sfl-workday-sys-v1-tst,STARTED,0.2,2023-02-15 07:21:08.116000,0
Customer,na-test,bel-na-gbl-sfdc-motorist-sys-v1-tst,UNDEPLOYED,0.1,2023-01-24 14:52:40.243000,0
Finance,na-dev,bel-na-gbl-customer-ofcf-sys-v1-dev,STARTED,0.1,2023-02-16 18:04:12.047000,11093
Obrien AU,apac-test,bel-apac-au-google-maps-sys-v1-tst,STARTED,0.1,2023-02-12 20:11:05.651000,13420
Supply Chain,na-dev,bel-na-gbl-aslbpa-prc-v1-dev,STARTED,0.1,2023-01-23 14:11:52.437000,0
C4E,eu-dev,bel-eu-gbl-net-tools-exp-v1-dev,STARTED,0.1,2023-01-26 06:21:28.390000,62
Carglass DE,eu-dev,bel-eu-gbl-asn-prc-v1-dev,UNDEPLOYED,0.1,2023-02-07 10:52:48.683000,73660
Safelite US,na-test,bel-na-sfl-edflo-sys-v1-tst,UNDEPLOYED,0.1,2023-01-26 19:13:34.573000,0
Customer,na-test,bel-na-sfl-workorder-digital-prc-v1-tst,STARTED,0.1,2023-01-24 16:04:09.025000,18
Finance,na-dev,bel-na-gbl-credit-manager-prc-v1-dev,STARTED,0.1,2023-01-25 10:52:48.372000,0
Supply Chain,na-dev,bel-na-gbl-asn-validation-prc-v1-dev,STARTED,0.1,2023-02-13 06:26:29.897000,0
C4E,eu-dev,bel-eu-c4e-amazonpubsub-exp-v1-dev,STARTED,0.1,2023-01-26 06:43:31.620000,0
Carglass DE,eu-dev,bel-eu-de-oracle-ebs-sys-v1-dev,UNDEPLOYED,0.1,2023-02-07 10:52:33.604000,16057
Safelite US,na-test,bel-na-sfl-datawarehouse-sys-v1-tst,STARTED,0.1,2023-01-26 19:31:07.867000,0
Customer,na-test,bel-na-sfl-workorder-digital-exp-v1-tst,STARTED,0.1,2023-01-24 16:20:46.728000,0
Finance,na-dev,bel-na-gbl-credit-issuer-prc-v1-dev,STARTED,0.1,2023-01-31 09:52:29.518000,3
C4E,eu-dev,bel-eu-c4e-demo-pipeline101-exp-v1-dev,STARTED,0.1,2023-01-26 07:23:37.429000,0
Supply Chain,na-dev,bel-na-gbl-purchase-orders-prc-v1-dev,STARTED,0.1,2023-01-31 06:16:06.074000,11
Customer,na-test,bel-na-c4e-munit-test201-exp-v1-tst,UNDEPLOYED,0.1,2023-01-24 16:48:57.149000,0
Safelite US,na-test,bel-na-sfl-us-inventory-prc-v1-tst,STARTED,0.6000000000000001,2023-02-07 11:35:40.062000,12411
Finance,na-dev,bel-na-sfl-fdrl-reserve-prc-v1-dev,STARTED,0.1,2023-02-14 05:31:54.455000,1
C4E,eu-dev,bel-eu-c4e-fx-rate-prc-v1-dev,UNDEPLOYED,0.1,2023-01-26 09:18:44.763000,0
Supply Chain,na-dev,bel-na-gbl-supplier-asn-prc-v1-dev,STARTED,0.1,2023-02-16 13:29:46.030000,338
Customer,na-test,bel-na-sfl-krns-punches-sys-v1-tst,STARTED,0.1,2023-01-24 17:09:59.866000,0
Safelite US,na-test,safelite-health-tst,UNDEPLOYED,0.1,2023-01-26 20:14:12.909000,0
Finance,na-dev,bel-na-gbl-fx-rate-refnv-sys-v1-dev,STARTED,0.1,2023-01-25 11:41:08.914000,0
Supply Chain,na-dev,bel-na-gbl-replenish-po-prc-v1-dev,STARTED,0.1,2023-02-13 12:17:19.787000,0
C4E,eu-dev,bel-eu-c4e-pipeline-test201-exp-v2-dev,UNDEPLOYED,0.1,2023-01-26 09:29:55.116000,0
Customer,na-test,bel-na-sfl-subscriber-punches-prc-v1-tst,STARTED,0.1,2023-01-24 17:24:16.089000,0
Safelite US,na-test,bel-na-sfl-communication-prc-v1-tst,STARTED,0.1,2023-01-26 20:22:03.241000,2205
Finance,na-dev,bel-na-gbl-fx-rate-prc-v1-dev,STARTED,0.1,2023-01-25 11:41:55.736000,0
C4E,eu-dev,bel-eu-c4e-pipeline-test1-exp-dev,UNDEPLOYED,0.1,2023-01-26 12:16:11.743000,0
Supply Chain,na-dev,bel-na-gbl-supplier-ofcf-sys-v1-dev,STARTED,0.1,2023-02-07 14:36:40.683000,50
Customer,na-test,bel-na-sfl-order-prc-v1-tst,STARTED,0.1,2023-02-08 08:46:32.643000,0
Finance,na-dev,bel-na-gbl-invoices-ofcf-sys-v1-dev,STARTED,0.1,2023-02-14 12:57:38.362000,18878
Safelite US,na-test,bel-na-sfl-oms-callback-exp-v1-tst,UNDEPLOYED,0.2,2023-01-26 20:28:12.125000,0
Supply Chain,na-dev,bel-na-gbl-purchase-order-ofcf-sys-v1-dev,STARTED,0.1,2023-01-23 18:56:07.417000,623
C4E,eu-dev,bel-eu-c4e-pipeline-test301-exp-v1-dev,STARTED,0.1,2023-01-26 14:02:12.239000,0
Customer,na-test,bel-na-sfl-fsl-orderupdates-prc-v1-tst,STARTED,0.1,2023-02-08 02:45:11.919000,8
Finance,na-dev,bel-na-gbl-receipt-ofcf-sys-v1-dev,STARTED,0.1,2023-02-16 08:29:19.640000,372
Safelite US,na-test,bel-na-sfl-element-sys-v1-tst,STARTED,0.1,2023-02-08 21:02:42.610000,360
C4E,eu-dev,bel-eu-gbl-amq-console-exp-v1-dev,STARTED,0.1,2023-01-26 15:50:33.237000,8021
Supply Chain,na-dev,bel-na-gbl-asn-ofcf-sys-v1-dev,STARTED,0.1,2023-02-16 09:27:47.398000,127
Customer,na-test,bel-na-gbl-sfdc-job-work-order-sys-v1-tst,UNDEPLOYED,0.1,2023-01-24 18:36:52.495000,0
Finance,na-dev,bel-na-gbl-payment-ofcf-sys-v1-dev,STARTED,0.1,2023-01-25 12:50:48.665000,236
Safelite US,na-test,bel-na-sfl-userfeedutility-prc-v1-tst,UNDEPLOYED,0.1,2023-01-26 21:46:30.418000,0
Supply Chain,na-dev,bel-na-gbl-worker-ofcf-sys-v1-dev,STARTED,0.1,2023-01-23 19:56:38.978000,0
Customer,na-test,bel-na-sfl-gqi-prc-v1-tst,STARTED,0.1,2023-01-24 18:54:12.769000,0
Finance,na-dev,bel-na-gbl-inv-claim-prc-v1-dev,STARTED,0.1,2023-02-15 09:20:00.278000,18
Safelite US,na-test,bel-na-sfl-tango-sys-v1-tst,STARTED,0.1,2023-01-26 22:12:19.201000,0
Supply Chain,na-dev,bel-na-gbl-location-ofcf-sys-v1-dev,STARTED,0.1,2023-02-13 13:54:12.563000,132
Customer,na-test,bel-na-sfl-fsl-techassignment-prc-v1,UNDEPLOYED,0.1,2023-01-24 19:01:47.650000,0
Finance,na-dev,bel-na-gbl-supplier-extract-sys-v1-dev,STARTED,0.1,2023-01-25 14:16:21.319000,91
C4E,eu-test,bel-eu-gbl-helloworld-exp-v1-tst,STARTED,0.1,2023-01-26 03:11:22.497000,0
Safelite US,na-test,bel-na-sfl-batchrealestatemgmt-exp-v1-tst,UNDEPLOYED,0.1,2023-01-26 22:11:41.236000,0
Supply Chain,na-dev,bel-na-gbl-address-melissa-sys-v1-dev,UNDEPLOYED,0.1,2023-02-09 09:41:00.614000,104
Customer,na-test,bel-na-sfl-gqi-prc-v1,UNDEPLOYED,0.1,2023-01-24 19:13:13.529000,0
Finance,na-dev,bel-na-gbl-customer-extract-sys-v1-dev,STARTED,0.1,2023-01-25 14:22:32.822000,36
C4E,eu-test,bel-eu-gbl-helloworld-prc-v1-tst,STARTED,0.1,2023-01-26 03:19:21.843000,0
Customer,na-test,bel-na-sfl-fsl-techassignment-prc-v1-tst,UNDEPLOYED,0.1,2023-01-24 19:23:43.631000,0
Finance,na-dev,bel-na-gbl-banks-ofcf-sys-v1-dev,STARTED,0.1,2023-01-25 14:46:36.518000,0
C4E,eu-test,bel-eu-gbl-helloworld-sys-v1-tst,STARTED,0.1,2023-01-26 03:38:16.623000,0
Supply Chain,na-dev,bel-na-gbl-address-validation-prc-v1-dev,STARTED,0.1,2023-02-08 13:34:15.676000,8
Safelite US,na-test,bel-na-sfl-realestatemgmt-prc-v1-tst,STARTED,0.1,2023-01-26 22:28:04.039000,4
Customer,na-test,bel-na-sfl-sf-workorder-exp-v1-tst,STARTED,0.1,2023-01-24 19:35:40.330000,0
Finance,na-dev,bel-na-gbl-pay-after-prc-v1-dev,STARTED,0.1,2023-02-13 10:34:25.097000,16
C4E,eu-test,bel-eu-c4e-demo-pipeline101-exp-v1-tst,UNDEPLOYED,0.1,2023-01-26 07:48:21.846000,0
Supply Chain,na-dev,bel-na-gbl-ofcf-address-vldtn-prc-v1-dev,STARTED,0.1,2023-02-16 08:53:14.739000,13
Safelite US,na-test,bel-na-sfl-s3-sys-v1-tst,STARTED,0.2,2023-01-26 22:29:35.328000,0
Customer,na-test,bel-na-sfl-documents-comm-prc-v1-tst,STARTED,0.1,2023-02-08 02:34:25.042000,846
Finance,na-dev,bel-na-gbl-voucher-status-prc-v1-dev,STARTED,0.1,2023-02-07 09:15:12.112000,4
C4E,eu-test,bel-eu-gbl-event-publisher-exp-v1-tst,STARTED,0.1,2023-01-26 11:16:06.650000,3984
Supply Chain,na-dev,bel-na-gbl-mlsa-melissa-sys-v1-dev,STARTED,0.1,2023-02-09 09:04:02.813000,34
Safelite US,na-test,kibanapoc,UNDEPLOYED,0.1,2023-01-27 00:05:25.551000,0
Customer,na-test,bel-na-gbl-order-prc-v1-tst,STARTED,0.1,2023-01-24 20:30:55.312000,0
Finance,na-dev,bel-na-gbl-receipt-upload-prc-v1-dev,STARTED,0.1,2023-02-13 11:46:49.312000,168
C4E,eu-test,bel-eu-c4e-pipeline-test1-exp-v1-tst,STARTED,0.1,2023-01-26 12:47:28.130000,0
Safelite US,na-test,bel-na-sfl-warehouse-mgmt-exp-v1-tst,STARTED,0.2,2023-02-10 14:22:05.316000,1467
Customer,na-test,bel-na-sfl-service-tracker-prc-v1-tst,STARTED,0.1,2023-01-24 21:07:33.114000,0
Finance,na-dev,bel-na-gbl-imdm-motorist-sys-v1-dev,STARTED,0.1,2023-02-10 06:18:42.100000,1094
C4E,eu-test,bel-eu-c4e-pipeline-test1-exp-tst,UNDEPLOYED,0.1,2023-01-26 12:57:51.050000,0
Safelite US,na-test,bel-na-sfl-eworkorder-exp-v1-tst,STARTED,0.1,2023-01-27 00:55:33.679000,102
Customer,na-test,bel-na-sfl-service-tracker-sys-v1-tst,STARTED,0.1,2023-01-12 14:13:36.164000,3
Finance,na-dev,bel-na-gbl-adjustments-ofcf-sys-v1-dev,STARTED,0.1,2023-01-25 17:34:09.430000,0
Supply Chain,eu-dev,bel-eu-it-bcen-exp-v1-dev,STARTED,0.1,2023-02-01 10:08:50.049000,16
C4E,eu-test,bel-eu-c4e-pipeline-test301-exp-v1-tst,STARTED,0.1,2023-01-26 14:21:12.648000,0
Safelite US,na-test,bel-na-sfl-eworkorder-prc-v1-tst,STARTED,0.1,2023-01-27 01:02:45.457000,153
Customer,na-test,bel-na-sfl-fsl-techassigned-prc-v1-tst,UNDEPLOYED,0.1,2023-01-24 21:37:08.334000,0
Supply Chain,eu-dev,bel-eu-gbl-kadv-product-sys-v1-dev,STARTED,0.1,2023-02-01 10:09:04.990000,4
Finance,na-dev,bel-na-gbl-general-ledger-ofcf-sys-v1-dev,STARTED,0.1,2023-01-25 17:47:07.423000,0
Safelite US,na-test,bel-na-sfl-esri-sys-v1-tst,UNDEPLOYED,0.1,2023-01-27 01:17:37.414000,0
Customer,na-test,bel-na-sfl-documents-prc-v1-tst,STARTED,0.1,2023-02-07 20:17:54.878000,0
Supply Chain,eu-dev,bel-eu-gbl-kadv-order-in-sys-v1-dev,STARTED,0.1,2023-01-23 03:52:43.658000,4
Finance,na-dev,bel-na-gbl-adjust-debitmemo-prc-v1-dev,STARTED,0.1,2023-01-30 11:01:08.469000,9
Safelite US,na-test,bel-na-sfl-ccis-rs-sys-v1-tst,STARTED,0.1,2023-01-31 05:53:31.052000,3005
Customer,na-test,bel-na-gbl-aws-s3-sys-v1-tst,STARTED,0.1,2023-01-24 22:40:05.969000,496
Supply Chain,eu-dev,bel-eu-gbl-common-exp-v1-dev,UNDEPLOYED,0.1,2023-01-23 03:56:23.365000,0
C4E,apac-dev,bel-apac-c4e-amazon-exp-v1-dev,STARTED,0.1,2023-01-25 20:05:17.356000,0
Finance,na-dev,bel-na-gbl-adjustments-upload-prc-v1-dev,STARTED,0.1,2023-02-13 16:20:43.882000,2
Safelite US,na-test,bel-na-sfl-ccis-exp-v1-tst,STARTED,0.1,2023-01-19 12:49:08.774000,7412
Customer,na-test,bel-na-gbl-sfdc-location-sys-v01-tst,UNDEPLOYED,0.1,2023-01-24 22:44:57.601000,0
Supply Chain,eu-dev,bel-eu-gbl-kadv-asn-sys-v1-dev,STARTED,0.1,2023-01-23 04:07:35.912000,0
C4E,apac-dev,bel-apac-c4e-helloworld-exp-v1-dev,UNDEPLOYED,0.1,2023-01-25 20:09:30.636000,0
Finance,na-dev,bel-na-gbl-subscriber-ap-inv-prc-v1-dev,STARTED,0.1,2023-02-15 13:08:40.925000,60
Safelite US,na-test,bel-na-sfl-supply-chain-ping-exp-v1-tst,STARTED,0.1,2023-01-27 02:34:02.384000,0
Customer,na-test,bel-na-gbl-sfdc-appointment-sys-v01-tst,UNDEPLOYED,0.1,2023-01-24 22:52:57.073000,0
C4E,apac-dev,bel-apac-c4e-helloworld-prc-v1-dev,STARTED,0.1,2023-01-25 20:42:37.352000,0
Supply Chain,eu-dev,bel-eu-gbl-kadv-order-out-sys-v1-dev,STARTED,0.1,2023-01-27 09:06:02.663000,8
Finance,na-dev,bel-na-gbl-imdm-accounts-sys-v1-dev,STARTED,0.1,2023-02-10 13:25:34.084000,513
Safelite US,na-test,bel-na-sfl-shortenurlproxy-exp-v1-tst,STARTED,0.1,2023-01-27 02:45:59.096000,6946
Customer,na-test,bel-na-gbl-sfdc-eventbus-sys-v01-tst,UNDEPLOYED,0.1,2023-01-24 23:11:41.045000,0
C4E,apac-dev,bel-apac-c4e-helloworld-sys-v1-dev,UNDEPLOYED,0.1,2023-01-25 21:09:14.045000,0
Supply Chain,eu-dev,bel-eu-it-bcen-sys-v1-dev,STARTED,0.1,2023-01-23 04:36:08.057000,0
Finance,na-dev,bel-na-gbl-account-enrich-prc-v1-dev,STARTED,0.1,2023-02-15 06:42:52.242000,977
Safelite US,na-test,bel-na-sfl-mrmapi-prc-v1-tst,STARTED,0.30000000000000004,2023-01-27 03:01:21.776000,1610
Customer,na-test,bel-na-gbl-subscriber-location-prc-v01-tst,UNDEPLOYED,0.1,2023-01-24 23:24:35.066000,0
C4E,apac-dev,bel-apac-gbl-net-tools-exp-v1-dev,STARTED,0.1,2023-01-25 22:51:53.382000,0
Finance,na-dev,bel-na-gbl-customer-mdm-enrich-prc-v1-dev,STARTED,0.1,2023-02-15 08:00:58.111000,349
Supply Chain,eu-dev,bel-eu-gbl-kadv-receipt-prc-v1-dev,STARTED,0.1,2023-01-23 04:42:48.423000,0
Safelite US,na-test,bel-na-sfl-mrmapiproxyv2-exp-v1-tst,STARTED,0.1,2023-01-27 03:10:59.536000,1478
Customer,na-test,bel-na-gbl-subscriber-products-prc-v01-tst,UNDEPLOYED,0.1,2023-01-24 23:35:34.530000,0
C4E,apac-dev,bel-apac-c4e-pipeline-test301-exp-v1-dev,UNDEPLOYED,0.1,2023-01-26 03:09:52.677000,0
Finance,na-dev,bel-na-gbl-subscriber-customers-prc-v1-dev,STARTED,0.1,2023-02-14 13:45:39.111000,2770
Supply Chain,eu-dev,bel-eu-gbl-kadv-inventory-prc-v1-dev,STARTED,0.1,2023-01-23 04:48:03.611000,0
Safelite US,na-test,bel-na-sfl-sfdc-opt-ref-wo-exp-v1-tst,UNDEPLOYED,0.1,2023-01-27 03:12:28.624000,0
Customer,na-test,bel-na-gbl-sfdc-job-appointment-sys-v1-tst,UNDEPLOYED,0.1,2023-01-24 23:43:48.554000,0
C4E,apac-dev,bel-apac-c4e-pipeline-test201-exp-v2-dev,STARTED,0.1,2023-01-26 03:19:59.255000,0
Finance,na-dev,bel-na-gbl-motorist-invoice-prc-v1-dev,STARTED,0.1,2023-02-15 06:42:29.106000,60
Supply Chain,eu-dev,bel-eu-gbl-kadv-stockadj-prc-v1-dev,UNDEPLOYED,0.1,2023-01-23 05:00:24.183000,0
Safelite US,na-test,bel-na-sfl-tango-sys-v2-tst,STARTED,0.1,2023-02-01 15:17:37.335000,6560
Customer,na-test,bel-na-gbl-sfdc-job-work-order-sys-v01-tst,UNDEPLOYED,0.1,2023-01-25 00:09:36.251000,0
C4E,apac-dev,bel-apac-gbl-amq-console-exp-v1-dev,STARTED,0.1,2023-01-26 04:19:59.873000,1207
Supply Chain,eu-dev,bel-eu-gbl-kadv-shipment-prc-v1-dev,STARTED,0.1,2023-01-23 05:16:47.602000,0
Finance,na-dev,publish-message-jms-dev,STARTED,0.1,2023-02-16 09:38:58.969000,36
